# Capture Picture flow, flash selection check: app dev after #263 (branch feat/light-sensor-readings b9f2ba56), firmware ae_review ee65771f
# Started 2026-09-03 12:21:41. Times are MM:SS.mmm from the start of the capture.
# himax = COM6 @ 921600 (known adapter FTFAERNNA)
# nrf   = COM5 @ 115200 (known adapter FTH0BZPJA)
#
# Filtered to the lines that carry the story: app writes and receipts, nRF relay, Himax capture, flash, light, sleep and transfer markers. Hex dumps and per-packet chatter removed.
[13:52.564] himax | Sending 19 bytes: Header 4, payload 13, checksum 2 'selfTest 0000'
[13:52.564] himax | 000: 80 04 0d 00 73 65 6c 66  54 65 73 74 20 30 30 30 ....selfTest 000
[13:52.564] himax | MKL62BA command received: 'slots'
[13:52.865] nrf   | BLE out: Sent   5 bytes: 'Wake'
[13:52.865] nrf   | BLE out: Sent 117 bytes: 'Active slot 0 running 'HM0360 (night/IR)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
[13:53.023] app   | Written AI getop -1 to the device WILD-CNKW (12:35:34-826)
[13:53.180] himax | MKL62BA command received: 'getop -1'
[13:53.180] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[13:53.423] app   | Written AI getop -1 to the device WILD-CNKW (12:35:35-225)
[13:53.482] himax | MKL62BA command received: 'getop -1'
[13:53.782] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[13:54.043] app   | Written AI getop -1 to the device WILD-CNKW (12:35:35-845)
[13:54.084] nrf   | BLE in: Received   8 bytes 'selftest'
[13:54.084] himax | MKL62BA command received: 'getop -1'
[13:54.387] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[13:57.141] himax | Inactive for 3000ms
[13:57.456] himax | Sending 100 bytes: Header 4, payload 94, checksum 2 'Sleep 298 ... op8=3000 ... op24=15 op25=0 ...
[13:57.456] himax |  No LED flashes.
[13:57.456] himax | >>> Entering DPD at 2024:01:01 00:08:20
[13:57.456] nrf   | BLE out: Sent   6 bytes: 'Sleep'
[14:42.955] app   | Written AI slots to the device WILD-CNKW (12:36:24-757)
[14:43.071] nrf   | BLE in: Received   8 bytes 'AI slots'
[14:43.071] nrf   | <info> app: AI processor is in DPD. Waking it. (slots)
[14:43.071] himax | DEBUG: ledFlashSelectLED(0)
[14:43.372] himax | DEBUG: ledFlashBrightness(95%) [brbits = 0xe]
[14:43.372] himax | DEBUG: ledFlashSelectLED(2)
[14:43.372] himax | [LS] In ledFlashSetFlashModeFromOpParam with 2 Mode 1
[14:43.372] himax |   Flash LED(s) in use: 2
[14:43.687] nrf   | BLE out: Sent   5 bytes: 'Wake'
[14:43.687] nrf   | BLE out: Sent 117 bytes: 'Active slot 0 running 'HM0360 (night/IR)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
[14:43.687] himax | MKL62BA command received: 'selftest'
[14:43.687] himax | selfTest 0000
