# Final Capture Picture matrix before commit: flash Off/White/IR, both cameras, repeated captures, leave and re-enter. App feat/capture-keep-awake (tidied, uncommitted) on firmware ae_review e8b7feb5
# Started 2026-09-03 16:26:53. Times are MM:SS.mmm from the start of the capture.
# himax = COM6 @ 921600 (known adapter FTFAERNNA)
# nrf   = COM5 @ 115200 (known adapter FTH0BZPJA)
#
# The ten-step matrix: flash Off/White/White/IR on Black & White, switch to Colour, White and Off on Colour, leave, re-enter (hung: the transport's sleep pause), capture. Filtered to app writes and hook logs, slot replies, and the Himax wake, flash, light, capture, sleep, reset and transfer markers.
[07:50.048] himax | 000: 80 04 12 00 53 65 74 20  4f 70 50 61 72 61 6d 20 ....Set OpParam 
[07:53.123] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[07:53.123] app   | [BleSession] SLEEP signal detected  proceeding.
[07:53.155] himax | Inactive for 3000ms
[07:53.155] himax |  No LED flashes.
[07:53.155] himax | >>> Entering DPD at 2024:01:01 02:07:10
[07:53.293] app   | [useCapturePreview] startCapture called (count=1, interval=500)
[07:53.293] app   | [useCapturePreview] Phase 1: Setup  checking device state
[07:53.293] app   | [useCapturePreview] Phase 1 complete  waiting for device to sleep
[07:53.293] app   | [BleSession] Device already asleep  proceeding immediately.
[07:53.293] app   | [useCapturePreview] Phase 2: Capture  sending AI capture 1 500
[07:53.293] app   | Written AI capture 1 500 to the device WILD-CNKW (16:34:47-407)
[07:53.457] himax | Wakeup_event = 0x0000, WakeupEvt1 = 0x0001 WAKE signal
[07:53.769] himax | DEBUG: ledFlashSelectLED(1)
[07:53.904] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[07:54.082] himax | Image capture 1/1 took 54ms
[07:54.275] himax | [LS] AE light check: AGain = 1, conv=Y -> BRIGHT (change)
[07:54.275] himax | Sending 58 bytes: Header 4, payload 52, checksum 2 'AE light check: AGain = 1, conv=Y -> BRIGHT (change)'
[07:54.474] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: AE light check: AGain = 1, conv=Y -> BRIGHT (change)
[07:54.587] himax | Sending 68 bytes: Header 4, payload 62, checksum 2 'Captured 1 images. Last is 5921E4F0.JPG (File write 44ms avg.)'
[07:54.587] himax | 000: 80 04 3e 00 43 61 70 74  75 72 65 64 20 31 20 69 ..>.Captured 1 i
[07:54.702] nrf   | BLE out: Sent  53 bytes: 'AE light check: AGain = 1, conv=Y -> BRIGHT (change)'
[07:54.702] nrf   | BLE out: Sent  63 bytes: 'Captured 1 images. Last is 5921E4F0.JPG (File write 44ms avg.)'
[07:55.158] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Captured 1 images. Last is 5921E4F0.JPG (File write 44ms avg.)
[07:55.434] app   | [useCapturePreview] Phase 2 complete  captured: 5921E4F0.JPG
[07:55.434] app   | [useCapturePreview] Device held awake; sending txfile without waiting for sleep
[07:55.434] app   | [useCapturePreview] Phase 3: Transfer  requesting txfile 5921E4F0.JPG
[07:55.491] himax | 12614 bytes in 5921E4F0.JPG
[07:55.491] himax | Sending 33 bytes: Header 4, payload 27, checksum 2 '12614 bytes in 5921E4F0.JPG'
[07:55.492] app   | Written AI txfile 5921E4F0.JPG to the device WILD-CNKW (16:34:49-609)
[07:55.660] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: 12614 bytes in 5921E4F0.JPG
[07:55.938] nrf   | <info> app: AI processor replies: '12614 bytes in 5921E4F0.JPG'
[07:55.938] nrf   | BLE out: Sent  28 bytes: '12614 bytes in 5921E4F0.JPG'
[08:07.968] app   | ImageReassembler: Transfer complete! Received 12614/12614 (0 gaps)
[08:08.035] app   | ImageReassembler: Image saved to file:///data/user/0/com.wildlife.wildlifewatcher.expo/cache/capture_1788410102096.jpg [SUCCESS] (12614/12614 bytes)
[08:10.573] app   | Written AI getop -1 to the device WILD-CNKW (16:35:04-693)
[08:10.998] app   | Written AI setop 25 1 to the device WILD-CNKW (16:35:05-119)
[08:11.123] himax | Set OpParam 25 = 1
[08:11.123] himax | Sending 24 bytes: Header 4, payload 18, checksum 2 'Set OpParam 25 = 1'
[08:11.123] himax | 000: 80 04 12 00 53 65 74 20  4f 70 50 61 72 61 6d 20 ....Set OpParam 
[08:11.223] nrf   | <info> app: AI processor replies: 'Set OpParam 25 = 1'
[08:11.223] nrf   | BLE out: Sent  19 bytes: 'Set OpParam 25 = 1'
[08:11.255] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Set OpParam 25 = 1
[08:14.203] himax | Inactive for 3000ms
[08:14.368] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[08:14.368] app   | [BleSession] SLEEP signal detected  proceeding.
[08:14.510] himax |  No LED flashes.
[08:14.510] himax | >>> Entering DPD at 2024:01:01 02:07:32
[08:14.574] app   | [useCapturePreview] startCapture called (count=1, interval=500)
[08:14.574] app   | [useCapturePreview] Phase 1: Setup  checking device state
[08:14.590] app   | [useCapturePreview] Phase 1 complete  waiting for device to sleep
[08:14.590] app   | [BleSession] Device already asleep  proceeding immediately.
[08:14.590] app   | [useCapturePreview] Phase 2: Capture  sending AI capture 1 500
[08:14.748] app   | Written AI capture 1 500 to the device WILD-CNKW (16:35:08-863)
[08:15.124] himax | Wakeup_event = 0x0000, WakeupEvt1 = 0x0001 WAKE signal
[08:15.124] himax | DEBUG: ledFlashSelectLED(1)
[08:15.352] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Wake
[08:15.437] himax | Image capture 1/1 took 54ms
[08:15.728] himax | [LS] AE light check: AGain = 1, conv=Y -> BRIGHT (change)
[08:15.728] himax | Sending 58 bytes: Header 4, payload 52, checksum 2 'AE light check: AGain = 1, conv=Y -> BRIGHT (change)'
[08:16.036] himax | Sending 68 bytes: Header 4, payload 62, checksum 2 'Captured 1 images. Last is 5921E650.JPG (File write 45ms avg.)'
[08:16.036] himax | 000: 80 04 3e 00 43 61 70 74  75 72 65 64 20 31 20 69 ..>.Captured 1 i
[08:16.068] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: AE light check: AGain = 1, conv=Y -> BRIGHT (change)
[08:16.157] nrf   | BLE out: Sent  53 bytes: 'AE light check: AGain = 1, conv=Y -> BRIGHT (change)'
[08:16.157] nrf   | BLE out: Sent  63 bytes: 'Captured 1 images. Last is 5921E650.JPG (File write 45ms avg.)'
[08:16.895] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Captured 1 images. Last is 5921E650.JPG (File write 45ms avg.)
[08:17.221] app   | [useCapturePreview] Phase 2 complete  captured: 5921E650.JPG
[08:17.221] app   | [useCapturePreview] Device held awake; sending txfile without waiting for sleep
[08:17.221] app   | [useCapturePreview] Phase 3: Transfer  requesting txfile 5921E650.JPG
[08:17.288] app   | Written AI txfile 5921E650.JPG to the device WILD-CNKW (16:35:11-405)
[08:17.430] himax | 12642 bytes in 5921E650.JPG
[08:17.430] himax | Sending 33 bytes: Header 4, payload 27, checksum 2 '12642 bytes in 5921E650.JPG'
[08:17.493] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: 12642 bytes in 5921E650.JPG
[08:17.988] nrf   | <info> app: AI processor replies: '12642 bytes in 5921E650.JPG'
[08:17.988] nrf   | BLE out: Sent  28 bytes: '12642 bytes in 5921E650.JPG'
[08:28.218] app   | ImageReassembler: Transfer complete! Received 12642/12642 (0 gaps)
[08:28.282] app   | ImageReassembler: Image saved to file:///data/user/0/com.wildlife.wildlifewatcher.expo/cache/capture_1788410122347.jpg [SUCCESS] (12642/12642 bytes)
[08:30.391] app   | Written AI getop -1 to the device WILD-CNKW (16:35:24-512)
[08:30.714] app   | Written AI setop 13 2 to the device WILD-CNKW (16:35:24-835)
