# Verification of ww-mobile-app #282 and #283 on the bench, 5 September 2026
#
# Device WILD-CNKW, firmware ae_review_to_merge 931ef923, app 0.0.65.
# Three-way log: app = adb logcat ReactNativeJS, nrf = MKL62BA console, himax = HX6538 console.
# Two excerpts from bench/2026-09-05_flash/flash_bench2.txt, times MM:SS.mmm from the start of that capture.
#
# Excerpt 1: Capture Picture holds op34 and the LED fires (#283).
# Excerpt 2: the deployment writes the project's flash after the reset (#282).

=== Excerpt 1: Capture Picture, White LED, lit room ===
[03:39.032] nrf   | <info> app: AI state machine bumped with 'Selftest Rx' (Current state: SELFTEST)
[03:39.032] nrf   | <info> app: AI self test bits = 0x0000 (all bits now 0x0000)
[03:39.032] nrf   | <info> app: Can't send UTC
[03:39.032] nrf   | <info> app: AI state changed from SELFTEST to IDLE
[03:39.032] nrf   | <info> app: AI State machine scheduler called with event 12 'Msg to AI'
[03:39.032] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[03:39.032] nrf   | Sending 'slots' to AI processor (4 ctrl bytes, 5 payload, 2 CRC)<info> app: AI state changed from IDLE to PROCESSING
[03:39.032] nrf   | <info> app: I2C TX complete: 11 bytes.
[03:39.032] nrf   | <info> app: !73 
[03:39.032] nrf   | <info> app: I2C RX payload 115/250 bytes. Response type is 4. CRC OK (0x5068)
[03:39.032] nrf   | <info> app: AI state machine bumped with 'Msg from AI' (Current state: PROCESSING)
[03:39.032] nrf   | <info> app: AI processor replies: 'Active slot 1 running 'RP3 (day/colour)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
[03:39.032] nrf   | <info> app: AI state changed from PROCESSING to IDLE
[03:39.032] nrf   | <info> app: NUS TX Ready
[03:39.153] app   | [SelfTest] device reports 0x0000
[03:39.187] himax | Negate inter-processor interrupt.
[03:39.187] himax | IF Task state changed from 'I2C RX State' (2) to 'I2C TX State' (3)
[03:39.187] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[03:39.187] himax | I2C transmission complete.
[03:39.187] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[03:39.344] nrf   | <info> app: NUS TX Ready
[03:39.655] nrf   | <info> app: NUS TX Ready
[03:39.692] app   | [OpCache] sharing the fetch in flight for D6:47:9B:89:E7:23
[03:39.708] app   | Written AI getop -1 to the device WILD-CNKW (02:19:43-266)
[03:39.810] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[03:39.810] himax | Received I2C message.
[03:39.810] himax | MKL62BA command received: 'getop -1'
[03:39.810] himax | OpParams 0 0 0 1 12 1 500 0 1000 5 1 0 100 1 0 0 18 1 0 0 0 2 50 65 15 0 0 286 326 1 110 1 0 0 0 0 0 
[03:39.810] himax | IF Task state changed from 'Idle' (1) to 'I2C RX State' (2)
[03:39.810] himax | IF Task received event 'String Response' (0x0703). Rx data = 0x3000eab0
[03:39.810] himax | Assert inter-processor interrupt.
[03:39.810] himax | Negate inter-processor interrupt.
[03:39.810] himax | IF Task state changed from 'I2C RX State' (2) to 'I2C TX State' (3)
[03:39.810] himax | IF Task received event 'I2C Tx' (0x0701). Rx data = 0x00000000
[03:39.810] himax | I2C transmission complete.
[03:39.968] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[03:39.968] nrf   | <info> app: AI state machine bumped with 'Msg to AI' (Current state: IDLE)
[03:39.968] nrf   | Sending 'getop -1' to AI processor (4 ctrl bytes, 8 payload, 2 CRC)<info> app: AI state changed from IDLE to PROCESSING
[03:39.968] nrf   | <info> app: I2C TX complete: 14 bytes.
[03:39.968] nrf   | <info> app: !74 
[03:39.968] nrf   | <info> app: I2C RX payload 101/250 bytes. Response type is 4. CRC OK (0x442D)
[03:39.968] nrf   | <info> app: AI state machine bumped with 'Msg from AI' (Current state: PROCESSING)
[03:39.968] nrf   | <info> app: AI processor replies: 'OpParams 0 0 0 1 12 1 500 0 1000 5 1 0 100 1 0 0 18 1 0 0 0 2 50 65 15 0 0 286 326 1 110 1 0 0 0 0 0 '
[03:39.968] nrf   | <info> app: AI state changed from PROCESSING to IDLE
[03:40.124] himax | IF Task state changed from 'I2C TX State' (3) to 'Idle' (1)
[03:40.281] nrf   | <info> app: NUS TX Ready
[03:40.305] app   | Written AI setop 8 3000 to the device WILD-CNKW (02:19:43-862)
[03:40.436] himax | IF Task received event 'I2C Rx' (0x0700). Rx data = 0x00000000
[03:40.436] himax | Received I2C message.
[03:40.436] himax | MKL62BA command received: 'setop 8 3000'
[03:40.436] himax | Set OpParam 8 = 3000
[03:40.436] himax | IF Task state changed from 'Idle' (1) to 'I2C RX State' (2)
[03:40.436] himax | IF Task received event 'String Response' (0x0703). Rx data = 0x3000eab0
[03:40.436] himax | Assert inter-processor interrupt.
